歌星id,歌星名称
"618","程志"
"619","吕飞"
"620","陈芬兰"
"621","卢以纯"
"622","胡诺言"
"623","邹俊峰"
"625","刘斌"
"626","李丽芬"
"627","邓志驹"
"628","陈琪"
"629","吴佩慈"
"630","彭健新"
"634","沈文程"
"637","陈一郎"
"638","吸引力"
"639","朱孝天"
"642","黄舒骏"
"643","林萍"
"644","关德辉"
"645","苏小明"
"646","叶佩英"
"647","青春美少女"
"648","梁小冰"
"649","许慧欣"
"650","Julio"
"651","林良乐"
"652","2个女生"
"654","徐熙媛"
"655","任雪晴"
"656","胡瓜"
"657","毕国勇"
"658","姚苏蓉"
"659","TWINS"
"660","厉智敏"
"662","于台烟"
"664","水木年华"
"665","周影"
"668","艾雨"
"669","刘海波"
"670","蒋志光"
"671","丁子峻"
"672","庹宗康"
"673","刘小娜"
"674","PaulMauriat"
"675","舒高"
"676","刘维维"
"680","廖忠"
"681","脱拉库"
"682","李彩桦"
"683","达达乐队"
"684","刘彤"
"685","妮南"
"687","李婷宜"
"688","何婉盈"
"691","邱淑贞"
"692","艾敬"
"693","王祖贤"
"694","才旦卓玛"
"697","川岛末树代"
"698","彭莉"
"699","黄露仪"
"700","何家劲"
"701","胡月"
"702","沙宝亮"
"703","高耀太"
"704","克里木"
"705","冯博娟"
"707","黄征"
"708","伍咏薇"
"710","刘婕"
"711","陈少华"
"712","张茜"
"713","凡人"
"715","陈亚兰"
"716","况明洁"
"717","郭蓉"
"718","尤姿涵"
"720","张真"
"722","林晏如"
"723","潘秀琼"
"724","廖莎"
"725","叶茅"
"726","雷安娜"
"727","叶蕴仪"
"728","李炳辉"
"729","金门王"
"730","苏红"
"731","江明学"
"732","章蓉舫"
"733","李琼"
"735","吴建豪"
"736","辛欣"
"737","陈美龄"
"739","安德尊"
"740","黄仲昆"
"742","王岩"
"743","关芝琳"
"744","千百惠"
"745","吴大维"
"746","贾静雯"
"748","李丽珍"
"749","童欣"
"750","山鹰组合"
"752","高旗"
"756","张伟进"
"757","郑进一"
"758","陶莉萍"
"760","马玉涛"
"762","梦飞船"
"763","李威霆"
"766","常宽"
"767","叶欢"
"768","张可颐"
"770","何影"
"771","黄小琥"
"773","江希文"
"774","周渝民"
"775","约翰列农"
"776","B.JOEL"
"777","Beauty 4"
"778","西城男孩"
"779","古皓"
"780","天使二重唱"
"781","高凌风"
"783","王洁实"
"784","周敏萱"
"786","殷正洋"
"787","谢津"
"790","刘文正"
"793","刘秉义"
"794","何超仪"
"795","B.A.D"
"797","王韫"
"798","曲比阿乌"
"800","Ricky Martin"
"801","Andy Williams"
"802","猫王"
"803","范逸臣"
"804","五分之一"
"805","木吉他"
"806","张横"
"807","言承旭"
"808","Rechard Marx"
"809","ABBA"
"810","Bill Withers"
"811","东方二重唱"
"812","于魁智"
"813","Lionel Richie"
"814","戴爱玲"
"816","Emilia"
"817","BeeGees"
"818","Michael Bolton"
"819","Boyzone"
"821","Carpenters"
"822","WetWetWet"
"824","Janet"
"827","芭芭拉"
"828","Billie"
"829","All 4 One"
"830","Roger Miller"
"831","Diana Ross"
"832","RichAstley"
"833","布兰妮"
"834","Elton John"
"835","Brandy"
"837","TheEagles"
"838","TheShirelles"
"839","4 IN LOVE"
"840","5566"
"841","911"
"842","AirSupply"
"843","aqua"
"844","ASOS"
"846","BABY VOX"
"848","Bertie Higgins"
"849","blue"
"850","Cat Steven"
"851","cd voice"
"853","Chage&Aska"
"854","cookies"
"856","DonMclean"
"857","ECHO"
"859","Enrique"
"860","Fin.k.l"
"864","HOT"
"865","KYLIE MINOGUE"
"866","Lauren Christy"
"867","Maria Montell"
"868","Mary Wells"
"869","MAX"
"872","Nataliecole"
"873","one voice"
"874","RAIDAS"
"876","SES"
"877","Shania Twain"
"878","Shery lCrow"
"879","SHINE"
"881","Sweety"
"882","swing"
"883","T.T.MA"
"884","Toni Braxton"
"885","u2"
"886","ZEN"
"888","安冬"
"889","安在旭"
"890","八只眼演唱组"
"891","白光"
"892","白灵"
"893","白雪仙"
"894","白杨"
"895","包娜娜"
"896","鲍翠微"
"897","滨崎步"
"898","勃鲁斯"
"899","蔡安荞"
"900","蔡少芬"
"901","蔡兴麟"
"902","蔡一杰"
"903","蔡一智"
"904","曹永廉"
"905","超载乐队"
"906","车继玲"
"907","陈艾湄"
"908","陈柏霖"
"909","陈宝莲"
"910","陈宝珠"
"911","陈冲"
"912","陈道明"
"913","陈德容"
"914","陈法蓉"
"915","陈慧珊"
"916","陈嘉露"
"917","陈建年"
"918","陈洁灵"
"919","陈俊华"
"920","陈兰丽"
"921","陈立强"
"922","陈梅馨"
"923","陈美"
"924","陈妙瑛"
"925","陈铭洲"
"926","陈山葱"
"927","陈珊妮"
"928","陈司翰"
"929","陈伟"
"930","陈文媛"
